codigo_estacion,institucion,fuente,nombre,altura,latitud,longitud,codigo_cuenca,nombre_cuenca,codigo_sub_cuenca,nombre_sub_cuenca
5421002,DGA,dga_web,Estero Catemu En Puente Santa Rosa,510,-32.7769,-70.9772,54.0,Rio Aconcagua,542.0,Rio Aconcagua Bajo (Entre Despues E Seco Y Desemb)
5421003,DGA,dga_web,Rio Aconcagua En Chagres,0,-32.8,-70.9833,54.0,Rio Aconcagua,542.0,Rio Aconcagua Bajo (Entre Despues E Seco Y Desemb)
5421005,DGA,dga_web,Catemu,440,-32.7344,-70.9342,54.0,Rio Aconcagua,542.0,Aconcagua Bajo
5422001,DGA,dga_web,Estero Las Vegas En Desembocadura,0,-32.8347,-70.9983,54.0,Rio Aconcagua,542.0,Rio Aconcagua Bajo (Entre Despues E Seco Y Desemb)
5422002,DGA,dga_web,Las Chilcas,850,-32.9319,-70.8178,54.0,Rio Aconcagua,542.0,Aconcagua Bajo
5423001,DGA,dga_web,Canal Las Vegas En Bocatoma,320,-32.8369,-71.0042,54.0,Rio Aconcagua,542.0,Rio Aconcagua Bajo (Entre Despues E Seco Y Desemb)
5423002,DGA,dga_web,Estero Las Vegas Aguas Abajo Canal Las Vegas,0,-32.8333,-71.0167,54.0,Rio Aconcagua,542.0,Rio Aconcagua Bajo (Entre Despues E Seco Y Desemb)
5423003,DGA,dga_web,Rio Aconcagua En Romeral,365,-32.8403,-71.0256,54.0,Rio Aconcagua,542.0,Aconcagua Bajo
5423004,DGA,dga_web,Estero Romeral Antes Junta Rio Aconcagua,544,-32.8333,-71.0833,54.0,Rio Aconcagua,542.0,Rio Aconcagua Bajo (Entre Despues E Seco Y Desemb)
5423005,DGA,dga_web,Rio Aconcagua En Panamericana,210,-32.8439,-71.1164,54.0,Rio Aconcagua,542.0,Rio Aconcagua Bajo (Entre Despues E Seco Y Desemb)
5423006,DGA,dga_web,Estero Rabuco En Fundo Rabuco,300,-32.8667,-71.1333,54.0,Rio Aconcagua,542.0,Rio Aconcagua Bajo (Entre Despues E Seco Y Desemb)
5423008,DGA,dga_web,Canal Melon En Bocatoma,210,-32.85,-71.1167,54.0,Rio Aconcagua,542.0,Rio Aconcagua Bajo (Entre Despues E Seco Y Desemb)
5423009,DGA,dga_web,Canal Comunidad Hijuela En Bocatoma,210,-32.85,-71.1167,54.0,Rio Aconcagua,542.0,Rio Aconcagua Bajo (Entre Despues E Seco Y Desemb)
5423010,DGA,dga_web,Canal Comunidad Purutun En Bocatoma,210,-32.85,-71.1167,54.0,Rio Aconcagua,542.0,Rio Aconcagua Bajo (Entre Despues E Seco Y Desemb)
5423011,DGA,dga_web,Canal Puntilla Torrejon En Bocatoma,210,-32.85,-71.1167,54.0,Rio Aconcagua,542.0,Rio Aconcagua Bajo (Entre Despues E Seco Y Desemb)
5423013,DGA,dga_web,Estero Rabuco,300,-32.8506,-71.1167,54.0,Rio Aconcagua,542.0,Aconcagua Bajo
5424001,DGA,dga_web,Estero Litre En Panamericana,220,-32.7833,-71.2167,54.0,Rio Aconcagua,542.0,Rio Aconcagua Bajo (Entre Despues E Seco Y Desemb)
5424005,DGA,dga_web,El Cobre,280,-32.6531,-71.1964,54.0,Rio Aconcagua,542.0,Aconcagua Bajo
5425001,DGA,dga_web,Estero Lo Rojas Antes Junta Rio Aconcagua,170,-32.8167,-71.2667,54.0,Rio Aconcagua,542.0,Rio Aconcagua Bajo (Entre Despues E Seco Y Desemb)
5425002,DGA,dga_web,Rio Aconcagua En Puente Lo Rojas,170,-32.8167,-71.25,54.0,Rio Aconcagua,542.0,Rio Aconcagua Bajo (Entre Despues E Seco Y Desemb)
5425003,DGA,dga_web,Lo Rojas,190,-32.8119,-71.2653,54.0,Rio Aconcagua,542.0,Aconcagua Bajo
5426001,DGA,dga_web,Rio Aconcagua En Puente Boco (Ca),120,-32.8667,-71.25,54.0,Rio Aconcagua,542.0,Rio Aconcagua Bajo (Entre Despues E Seco Y Desemb)
5426002,DGA,dga_web,Rio Aconcagua En Tabolango,60,-32.9333,-71.3667,54.0,Rio Aconcagua,542.0,Rio Aconcagua Bajo (Entre Despues E Seco Y Desemb)
5426004,DGA,dga_web,Quillota,130,-32.8958,-71.2092,54.0,Rio Aconcagua,542.0,Aconcagua Bajo
5427003,DGA,dga_web,Estero De Limache Antes Junta Rio Aconcagua,120,-32.9242,-71.4439,54.0,Rio Aconcagua,542.0,Rio Aconcagua Bajo (Entre Despues E Seco Y Desemb)
5427006,DGA,dga_web,Lliu-Lliu Embalse,260,-33.0986,-71.2144,54.0,Rio Aconcagua,542.0,Aconcagua Bajo
5427007,DGA,dga_web,Los Aromos,100,-32.9578,-71.345,54.0,Rio Aconcagua,542.0,Aconcagua Bajo
5427008,DGA,dga_web,Quebrada Alvarado,290,-33.0506,-71.1,54.0,Rio Aconcagua,542.0,Aconcagua Bajo
5500001,DGA,dga_web,Las Piedras,225,-33.1542,-71.3428,55.0,Costeras Entre Aconcagua Y Maipo,550.0,E. Marga-Marga
5500003,DGA,dga_web,Las Salinas,20,-33.0019,-71.5467,55.0,Costeras Entre Aconcagua Y Maipo,550.0,E. Marga-Marga
550001,DMC,dmc_merge,Guardia Marina Zanartu Pto Williams Ad.,10,-54.9317,-67.6156,129.0,Islas Al Sur Del Canal Beagle Y Territorio Antartico,1293.0,Islas Navarino Y Gable
5510001,DGA,dga_web,Rodelillo,110,-33.0503,-71.5833,55.0,Costeras Entre Aconcagua Y Maipo,551.0,Lago Penuelas
5510002,DGA,dga_web,Lago Peuelas,360,-33.145,-71.5553,55.0,Costeras Entre Aconcagua Y Maipo,551.0,Lago Penuelas
5510005,DGA,dga_web,Cerro Colorado Armada De Chile,510,-33.0819,-71.6169,55.0,Costeras Entre Aconcagua Y Maipo,551.0,Lago Penuelas
5520001,DGA,dga_web,Casablanca,290,-33.3278,-71.4131,55.0,Costeras Entre Aconcagua Y Maipo,552.0,E. Casablanca Y E.  San Jeronimo (Incl.)
5520002,DGA,dga_web,Tapihue,310,-33.2897,-71.2914,55.0,Costeras Entre Aconcagua Y Maipo,552.0,E. Casablanca Y E.  San Jeronimo (Incl.)
5530001,DGA,dga_web,Estero Cartagena Despues Junta Zarate,24,-33.5283,-71.5269,55.0,Costeras Aconcagua-Maipo,553.0,Costeras Entre E Del Rosario (Incl) Y Rio Maipo
5530002,DGA,dga_web,San Antonio (Pta. Panul),80,-33.5747,-71.625,55.0,Costeras Entre Aconcagua Y Maipo,553.0,E. Del Rosario (Incl.) A R. Maipo
5530003,DGA,dga_web,Lagunillas,200,-33.4394,-71.4506,55.0,Costeras Entre Aconcagua Y Maipo,553.0,E. Del Rosario (Incl.) A R. Maipo
5530005,DGA,dga_web,Algarrobo,130,-33.4389,-71.6239,55.0,Costeras Entre Aconcagua Y Maipo,553.0,E. Del Rosario (Incl.) A R. Maipo
5610000,DGA,dga_web,Poike,32,-27.1125,-90.2753,56.0,Islas Del Pacifico,561.0,Isla De Pascua
5701001,DGA,dga_web,Rio Maipo En Las Hualtatas,1820,-33.9781,-70.1456,57.0,Rio Maipo,570.0,Rio Maipo Alto (Hasta Despues Junta Rio Colorado)
5701002,DGA,dga_web,Rio Maipo En Las Melosas,1527,-33.8481,-70.1961,57.0,Rio Maipo,570.0,Rio Maipo Alto (Hasta Despues Junta Rio Colorado)
5701005,DGA,dga_web,Las Melosas,1527,-33.8994,-70.1981,57.0,Rio Maipo,570.0,Rio Maipo Alto
5701008,DGA,dga_web,Queltehues,1450,-33.8164,-70.2172,57.0,Rio Maipo,570.0,Rio Maipo Alto
5702001,DGA,dga_web,Rio Volcan En Queltehues,1365,-33.8056,-70.2089,57.0,Rio Maipo,570.0,Rio Maipo Alto
5702011,DGA,dga_web,Glaciar San Franciscoen Aguas Panimavida,2220,-33.8053,-70.07,57.0,Rio Maipo,570.0,Rio Maipo Alto
5703001,DGA,dga_web,Rio Yeso En Piuquenes,2550,-33.6258,-69.9225,57.0,Rio Maipo,570.0,Rio Maipo Alto (Hasta Despues Junta Rio Colorado)
5703002,DGA,dga_web,Rio Yeso En Embalse El Yeso,2475,-33.6667,-70.0833,57.0,Rio Maipo,570.0,Rio Maipo Alto (Hasta Despues Junta Rio Colorado)
