codigo_estacion,institucion,fuente,nombre,altura,latitud,longitud,codigo_cuenca,nombre_cuenca,codigo_sub_cuenca,nombre_sub_cuenca,pais,region
4516002,DGA,dga_web,Canal Palqui En Semita,660,-30.8167,-70.7833,45.0,Rio Limari,451.0,Rio Grande Alto (Hasta Arriba Junta Rio Rapel),Chile,Región de Coquimbo
4516003,DGA,dga_web,Rio Grande En Zemita,0,-30.8144,-70.8042,45.0,Rio Limari,451.0,Rio Grande Alto (Hasta Arriba Junta Rio Rapel),Chile,Región de Coquimbo
4520001,DGA,dga_web,Rio Los Molles En Ojos De Agua,2355,-30.7436,-70.4389,45.0,Rio Limari,452.0,Rio Grande Medio (Arriba Junta Rapel Y E Paloma),Chile,Región de Coquimbo
4520002,DGA,dga_web,Canal Central Los Molles En Camara Dga,2465,-30.7656,-70.6158,45.0,Rio Limari,452.0,Rio Grande Medio (Arriba Junta Rapel Y E Paloma),Chile,Región de Coquimbo
4520003,DGA,dga_web,Rio Los Molles En Bocatoma,2620,-30.75,-70.4417,45.0,Rio Limari,452.0,Rio Grande Medio (Arriba Junta Rapel Y E Paloma),Chile,Región de Coquimbo
4520004,DGA,dga_web,Rio Rapel En Los Molles,0,-30.7167,-70.6667,45.0,Rio Limari,452.0,Rio Grande Medio (Arriba Junta Rapel Y E Paloma),Chile,Región de Coquimbo
4520005,DGA,dga_web,Los Molles Bocatoma,2600,-30.7439,-70.4175,45.0,Rio Limari,452.0,R. Grande Medio (Arriba Junta R. Rapel Y R. Guatulame O Muro Emb. Paloma),Chile,Región de Coquimbo
4522001,DGA,dga_web,Rio Rapel En Paloma,1190,-30.7333,-70.6167,45.0,Rio Limari,452.0,Rio Grande Medio (Arriba Junta Rapel Y E Paloma),Chile,Región de Coquimbo
4522002,DGA,dga_web,Rio Rapel En Junta,485,-30.7081,-70.8728,45.0,Rio Limari,452.0,Rio Grande Medio (Arriba Junta Rapel Y E Paloma),Chile,Región de Coquimbo
4522003,DGA,dga_web,Rapel,870,-30.7211,-70.7753,45.0,Rio Limari,452.0,R. Grande Medio (Arriba Junta R. Rapel Y R. Guatulame O Muro Emb. Paloma),Chile,Región de Coquimbo
4523001,DGA,dga_web,Rio Grande En Agua Chica,440,-30.7022,-70.9,45.0,Rio Limari,452.0,Rio Grande Medio (Arriba Junta Rapel Y E Paloma),Chile,Región de Coquimbo
4523002,DGA,dga_web,Rio Grande En Puntilla San Juan,420,-30.7047,-70.9244,45.0,Rio Limari,452.0,Rio Grande Medio (Arriba Junta Rapel Y E Paloma),Chile,Región de Coquimbo
4523004,DGA,dga_web,Puntilla San Juan,430,-30.7025,-70.9178,45.0,Rio Limari,452.0,R. Grande Medio (Arriba Junta R. Rapel Y R. Guatulame O Muro Emb. Paloma),Chile,Región de Coquimbo
4524001,DGA,dga_web,Monte Patria,445,-30.6914,-70.9608,45.0,Rio Limari,452.0,R. Grande Medio (Arriba Junta R. Rapel Y R. Guatulame O Muro Emb. Paloma),Chile,Región de Coquimbo
4530001,DGA,dga_web,Rio Cogoti En Fraguita,1065,-31.1119,-70.885,45.0,Rio Limari,453.0,R. Guatulame (Muro Embalse Paloma),Chile,Región de Coquimbo
4531001,DGA,dga_web,Rio Cogoti En Cogoti 18,810,-31.0833,-70.9556,45.0,Rio Limari,453.0,Rio Huatulame (Muro Embalse Paloma),Chile,Región de Coquimbo
